               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096571,            0.056956,            0.053073,             0.29144,                   0,                   0,                   0,                   0,            0.075965,            0.059389,            0.047392,             0.26324,             0.00072,             0.00072,             0.09352
                   1,            0.068351,            0.061284,            0.046344,              0.2541,             0.22985,              0.3197,            0.073515,            0.021462,            0.057174,            0.052928,             0.04188,             0.24407,             0.00116,             0.00116,             0.08666
                   2,            0.058865,            0.052805,            0.043257,             0.23966,             0.73013,             0.11498,            0.050594,             0.01339,            0.052504,            0.043975,            0.040538,             0.23292,            0.000872,            0.000872,            0.079072
