               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10471,            0.045396,            0.053147,             0.29121,           0.0074074,           0.0041667,           0.0038143,          0.00075866,            0.082841,            0.050517,            0.047408,             0.26408,             0.00072,             0.00072,             0.09352
                   1,            0.075433,            0.055162,            0.046526,             0.25461,              0.7294,             0.13215,            0.060617,            0.016594,            0.063629,            0.049311,            0.042519,             0.24362,             0.00116,             0.00116,             0.08666
                   2,            0.064685,            0.050968,            0.043454,             0.24114,             0.20593,             0.19593,            0.039521,            0.010307,            0.059645,            0.041805,            0.041134,             0.23467,            0.000872,            0.000872,            0.079072
