               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.052727,            0.028543,            0.011838,             0.16653,             0.56275,             0.56032,             0.46161,             0.14694,            0.043194,            0.023008,           0.0055771,             0.16015,           0.0098042,           0.0098042,           0.0098042
                  32,            0.051544,            0.026225,           0.0088477,             0.16442,             0.55322,             0.47984,             0.37311,             0.12198,            0.053122,            0.022697,           0.0065119,             0.15835,           0.0097911,           0.0097911,           0.0097911
                  33,            0.050187,            0.028789,           0.0091965,             0.16529,             0.60434,             0.63165,              0.5333,             0.21245,            0.039402,            0.022206,           0.0058659,             0.16009,           0.0097775,           0.0097775,           0.0097775
                  34,            0.051052,            0.029202,           0.0082415,             0.16449,             0.68596,             0.75996,             0.70948,              0.2486,            0.043504,            0.021867,           0.0051937,             0.15757,           0.0097635,           0.0097635,           0.0097635
                  35,            0.048362,            0.025117,           0.0075824,             0.16312,             0.66627,             0.60626,             0.58674,             0.23721,            0.042197,            0.021683,           0.0065044,             0.15926,           0.0097491,           0.0097491,           0.0097491
                  36,            0.048901,            0.025587,           0.0086701,              0.1626,             0.69531,             0.63243,             0.56364,             0.19487,            0.041856,            0.023053,           0.0079626,             0.15714,           0.0097343,           0.0097343,           0.0097343
                  37,            0.048482,            0.024721,           0.0087777,             0.16228,             0.68365,             0.61703,             0.55338,             0.21409,            0.041116,            0.022707,           0.0092512,             0.15778,           0.0097191,           0.0097191,           0.0097191
                  38,            0.049233,            0.027642,           0.0072323,             0.16054,             0.57026,             0.52959,             0.47415,             0.18388,            0.047712,            0.022147,           0.0072142,             0.15872,           0.0097035,           0.0097035,           0.0097035
                  39,            0.048222,            0.024642,           0.0079526,             0.16108,              0.5788,              0.6004,             0.50275,             0.18575,            0.042765,            0.023736,             0.01279,             0.15822,           0.0096875,           0.0096875,           0.0096875
                  40,             0.04575,            0.027236,           0.0078811,               0.161,             0.67592,             0.65894,              0.5458,             0.21784,            0.046145,            0.022141,           0.0079371,             0.15531,            0.009671,            0.009671,            0.009671
                  41,            0.048071,            0.025676,           0.0071451,             0.15997,             0.69715,             0.66004,              0.5964,             0.19251,            0.045238,            0.021849,           0.0057274,             0.15562,           0.0096542,           0.0096542,           0.0096542
                  42,            0.047181,            0.024034,           0.0077136,             0.16012,              0.6174,             0.63828,             0.54965,              0.2098,            0.040236,            0.021976,           0.0089577,             0.15709,           0.0096369,           0.0096369,           0.0096369
                  43,            0.046252,            0.027291,           0.0078705,             0.16091,               0.657,              0.6591,             0.57142,             0.19594,            0.043935,            0.021333,           0.0076297,             0.15447,           0.0096193,           0.0096193,           0.0096193
                  44,            0.046562,            0.026361,           0.0074403,             0.15838,             0.69568,             0.60504,             0.58395,              0.2297,            0.042441,            0.022819,           0.0060943,             0.15384,           0.0096013,           0.0096013,           0.0096013
                  45,            0.044779,            0.024963,           0.0072869,              0.1587,             0.69579,             0.66739,             0.59225,             0.24582,            0.042602,            0.020718,           0.0072586,             0.15457,           0.0095828,           0.0095828,           0.0095828
                  46,            0.045079,            0.022704,           0.0063895,             0.15726,             0.56364,             0.56794,             0.50946,              0.1653,            0.047939,            0.021263,           0.0051723,             0.15136,            0.009564,            0.009564,            0.009564
                  47,            0.044707,            0.023916,           0.0057738,             0.15643,             0.65274,             0.62018,             0.53353,             0.19971,            0.041127,            0.021668,           0.0064014,             0.15476,           0.0095448,           0.0095448,           0.0095448
                  48,            0.045284,            0.025769,           0.0067459,             0.15794,             0.48973,             0.45037,             0.38194,             0.15669,            0.045851,            0.021517,           0.0053406,             0.15313,           0.0095252,           0.0095252,           0.0095252
                  49,            0.046847,            0.025187,           0.0070585,             0.15542,             0.61125,             0.59177,              0.5137,             0.20203,            0.042556,            0.021904,           0.0043267,             0.15378,           0.0095052,           0.0095052,           0.0095052
                  50,            0.043536,            0.025477,           0.0068062,             0.15814,             0.62673,             0.56885,             0.52547,             0.23692,            0.042373,            0.021804,           0.0066682,             0.15216,           0.0094849,           0.0094849,           0.0094849
                  51,            0.043607,            0.025529,           0.0064941,             0.15821,             0.72762,             0.67438,             0.64271,             0.28185,            0.038189,             0.02165,           0.0085388,             0.15157,           0.0094641,           0.0094641,           0.0094641
                  52,            0.042626,            0.022888,            0.004791,             0.15481,             0.66876,             0.63729,             0.62723,              0.2567,            0.039976,            0.021619,           0.0053955,             0.15274,            0.009443,            0.009443,            0.009443
                  53,            0.044523,            0.024499,           0.0055688,              0.1564,             0.82628,             0.76234,             0.77607,             0.32355,            0.038631,             0.02166,           0.0055716,             0.15242,           0.0094215,           0.0094215,           0.0094215
                  54,            0.043651,            0.024534,           0.0057684,             0.15654,             0.75029,             0.71686,             0.66554,             0.23298,            0.043238,            0.021808,           0.0045747,             0.15081,           0.0093996,           0.0093996,           0.0093996
                  55,            0.043641,            0.024816,           0.0050139,             0.15559,             0.68064,             0.63416,             0.54695,             0.21164,            0.042131,            0.021838,           0.0048801,             0.15249,           0.0093773,           0.0093773,           0.0093773
                  56,            0.043474,            0.023762,           0.0058722,             0.15694,             0.65429,             0.63135,             0.60898,             0.26274,            0.040149,            0.021301,           0.0065357,             0.15009,           0.0093547,           0.0093547,           0.0093547
                  57,            0.043628,            0.027564,           0.0073021,              0.1558,             0.57985,             0.55921,             0.52325,             0.20334,             0.04647,            0.022046,           0.0048604,             0.15079,           0.0093317,           0.0093317,           0.0093317
                  58,            0.043189,            0.024859,           0.0066123,             0.15388,             0.75302,             0.69728,             0.65075,             0.26912,            0.039823,            0.021724,           0.0049564,             0.15131,           0.0093083,           0.0093083,           0.0093083
                  59,            0.042867,            0.025398,           0.0068954,              0.1552,             0.77572,             0.72866,             0.68871,             0.27939,            0.038408,            0.020813,            0.005593,             0.15064,           0.0092846,           0.0092846,           0.0092846
                  60,            0.041731,            0.024852,           0.0046914,             0.15401,              0.8257,             0.81591,              0.8199,             0.33794,            0.036368,            0.020966,           0.0059522,             0.15083,           0.0092605,           0.0092605,           0.0092605
                  61,            0.040682,            0.024681,           0.0048374,             0.15259,             0.82221,             0.77523,             0.71472,             0.27135,            0.041131,            0.021754,           0.0058498,             0.15053,           0.0092361,           0.0092361,           0.0092361
                  62,            0.043564,            0.022363,           0.0051492,             0.15236,             0.66395,             0.64177,             0.58336,             0.21659,            0.039448,            0.021058,           0.0046712,             0.15338,           0.0092113,           0.0092113,           0.0092113
                  63,            0.041001,            0.024347,           0.0035392,             0.15453,             0.77138,             0.71137,             0.71834,             0.24136,            0.044073,            0.020896,           0.0048565,             0.14914,           0.0091861,           0.0091861,           0.0091861
                  64,            0.041286,            0.024214,           0.0050167,             0.15326,             0.71927,             0.73335,             0.68343,             0.22753,            0.041412,            0.020981,           0.0052168,             0.15047,           0.0091606,           0.0091606,           0.0091606
                  65,            0.040454,            0.024284,           0.0041858,              0.1519,             0.71329,                 0.7,             0.65717,             0.23879,            0.041788,            0.021821,           0.0053071,              0.1524,           0.0091348,           0.0091348,           0.0091348
                  66,            0.041574,            0.025224,           0.0045229,             0.15153,             0.73425,             0.70013,              0.6433,             0.24903,            0.041171,            0.021474,           0.0050752,             0.15276,           0.0091086,           0.0091086,           0.0091086
                  67,            0.040574,              0.0247,           0.0041594,             0.15089,              0.7049,             0.64597,             0.61953,             0.24965,            0.040181,            0.021343,           0.0059099,             0.14926,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040669,            0.025291,           0.0040478,             0.15167,             0.63811,             0.57674,             0.54583,             0.19243,            0.041831,            0.022015,           0.0049906,             0.15009,           0.0090552,           0.0090552,           0.0090552
                  69,             0.04118,            0.025595,           0.0051924,             0.15384,              0.6798,             0.64935,             0.61675,             0.22836,            0.044054,            0.021552,           0.0057409,             0.15172,            0.009028,            0.009028,            0.009028
                  70,            0.041858,            0.025982,           0.0046734,             0.15378,             0.70298,             0.69671,             0.65248,              0.2693,            0.037025,            0.021285,           0.0044105,             0.15284,           0.0090004,           0.0090004,           0.0090004
                  71,            0.040859,            0.023785,           0.0047477,             0.15151,              0.6519,             0.63202,             0.58262,             0.23645,             0.03887,            0.021801,           0.0045927,             0.15143,           0.0089726,           0.0089726,           0.0089726
                  72,            0.041449,            0.024331,           0.0047049,             0.15111,             0.78946,             0.73057,             0.71975,             0.25153,            0.039729,            0.021669,           0.0052037,             0.14761,           0.0089444,           0.0089444,           0.0089444
                  73,            0.039554,            0.023175,           0.0042374,              0.1517,             0.77174,             0.68182,             0.66174,              0.2663,            0.040027,            0.020966,           0.0045056,             0.14696,           0.0089159,           0.0089159,           0.0089159
                  74,            0.040715,            0.024097,           0.0050538,             0.15022,             0.79422,              0.7729,             0.74731,             0.30623,            0.038016,            0.021503,           0.0064217,             0.14966,            0.008887,            0.008887,            0.008887
                  75,            0.039156,            0.023753,           0.0040461,             0.15233,             0.83437,             0.75711,             0.75022,             0.25787,            0.044122,            0.021666,           0.0054972,             0.14745,           0.0088579,           0.0088579,           0.0088579
                  76,            0.041765,            0.025837,           0.0046331,             0.14899,             0.90683,             0.81702,             0.87901,             0.32643,            0.038156,            0.021585,           0.0051632,             0.15159,           0.0088284,           0.0088284,           0.0088284
                  77,            0.040927,            0.024584,           0.0042305,             0.15089,             0.72462,             0.67433,             0.66551,             0.27138,             0.03653,            0.021556,           0.0044426,             0.14866,           0.0087987,           0.0087987,           0.0087987
                  78,            0.039773,            0.023437,           0.0039287,               0.151,             0.81051,             0.75472,             0.75789,             0.25567,            0.038142,            0.021301,           0.0051015,             0.14844,           0.0087686,           0.0087686,           0.0087686
                  79,            0.039463,            0.024858,            0.004919,             0.14719,              0.7936,              0.7447,             0.70904,             0.28642,            0.039075,            0.021109,           0.0040811,             0.14593,           0.0087382,           0.0087382,           0.0087382
                  80,            0.040024,            0.023115,            0.004272,             0.14844,             0.77712,             0.74704,             0.72315,             0.30421,            0.035573,            0.021012,           0.0041485,             0.14676,           0.0087075,           0.0087075,           0.0087075
                  81,             0.03853,            0.021973,           0.0035619,             0.14613,             0.74658,             0.69664,             0.67497,             0.26031,            0.039567,            0.020682,           0.0036815,             0.14746,           0.0086765,           0.0086765,           0.0086765
